Bengali,Gujarati
আবেলিয়ান গ্রুপ,એબેલિયન જૂથ
আবেলিয়ান সেমিগ্রুপ,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
পরম,સંપૂર્ણ
পরম মিলন,સંપૂર્ણ સંકલન
পরম ত্রুটি,સંપૂર્ણ ભૂલ
পরম সর্বোচ্চ,સંપૂર્ણ મહત્તમ
পরম সর্বনিম্ন,સંપૂર્ણ લઘુત્તમ
পরম মান,સંપૂર્ણ મૂલ્ય
পরম বেগ,સંપૂર્ણ વેગ
বিমূর্ত বীজগণিত,અમૂર્ત બીજગણિત
বিমূর্ত গ্রুপ তত্ত্ব,અમૂર્ત જૂથ સિદ્ધાંત
ত্বরণ,પ્રવેગ
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
গ্রহণযোগ্য পছন্দ সেট,સ્વીકાર્ય પસંદગી સમૂહ
গ্রহণযোগ্য মানের স্তর,સ્વીકાર્ય ગુણવત્તા સ્તર
গ্রহণযোগ্য পরিসীমা,સ્વીકાર્ય શ્રેણી
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
গ্রহণযোগ্য নমুনা,સ્વીકાર્ય નમૂના
সঞ্চিত ত্রুটি,સંચિત ભૂલ
সঠিকতা,ચોકસાઈ
অভিনয় শক্তি,અભિનય બળ
কর্ম,ક્રિયા
কর্ম এবং প্রতিক্রিয়া,ક્રિયા અને પ્રતિક્રિયા
বাস্তব বিজ্ঞান,વાસ્તવિક વિજ્ઞાન
তীব্র কোণযুক্ত ত্রিভুজ,તીવ્ર કોણીય ત્રિકોણ
অ্যাসাইক্লিক,એસાયક્લિક
যোগ করুন,ઉમેરો
যোগকারী,ઉમેરનાર
সংযোজন,વધુમાં
সংযোজন সূত্র,વધારાનું સૂત્ર
জটিল সংখ্যার সংযোজন,જટિલ સંખ્યાઓનો ઉમેરો
ফাংশন সংযোজন,કાર્યોનો ઉમેરો
ম্যাট্রিক্সের সংযোজন,મેટ્રિસિસનો ઉમેરો
বহুপদ সংযোজন,બહુપદીનો ઉમેરો
সম্ভাবনার সংযোজন,સંભાવનાઓનો ઉમેરો
ভেক্টর সংযোজন,વેક્ટરનો ઉમેરો
সংযোজন উপপাদ্য,વધારાનું પ્રમેય
সংযোজনকারী গ্রুপ,ઉમેરણ જૂથ
সংযোজন বিপরীত,ઉમેરણ વ્યસ્ત
সংযোজক সম্পত্তি,ઉમેરણ મિલકત
সংযোজন,ઉમેરણ
অন্তিক ম্যাট্রিক্স,સંલગ્નતા મેટ્રિક્સ
সংলগ্ন,અડીને
সন্নিহিত কোণ,અડીને આવેલા ખૂણા
সংলগ্ন শীর্ষবিন্দু,અડીને શિરોબિંદુ
সংলগ্ন,સંલગ્ન
সংলগ্ন,સંલગ્ન
সংলগ্ন নির্ধারক,સંલગ્ન નિર્ણાયક
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,સંલગ્ન વિભેદક સમીકરણ
সংলগ্ন সমীকরণ,સંલગ્ન સમીકરણ
সংলগ্ন ম্যাট্রিক্স,સંલગ્ન મેટ્રિક્સ
ম্যাট্রিক্সের সংলগ্ন,મેટ્રિક્સનો સંલગ્ન ભાગ
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,એડજ્યુગેટ મેટ્રિક્સ
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,સ્વીકાર્ય નિર્ણય કાર્ય
গ্রহণযোগ্য অনুমান,સ્વીકાર્ય પૂર્વધારણા
এরোডাইনামিক বল,એરોડાયનેમિક બળ
বায়ুগতিবিদ্যা,એરોડાયનેમિક્સ
affine জ্যামিতি,સંલગ્ન ભૂમિતિ
affine ম্যাপিং,affine મેપિંગ
affine রূপান্তর,સંલગ્ન રૂપાંતર
একত্রিত ভেরিয়েবল,એકંદર ચલો
বীজগণিত,બીજગણિત
বীজগণিতভাবে বন্ধ,બીજગણિતીય રીતે બંધ
বীজগণিত সমীকরণ,બીજગણિતીય સમીકરણ
বীজগাণিতিক এক্সপ্রেশন,બીજગણિતીય અભિવ્યક્તિ
বীজগাণিতিক ফর্ম,બીજગણિત સ્વરૂપ
বীজগণিতীয় ফাংশন,બીજગણિત કાર્ય
বীজগণিত জ্যামিতি,બીજગણિત ભૂમિતિ
বীজগণিতের বহুত্ব,બીજગણિત ગુણાકાર
বীজগণিত ব্যবস্থা,બીજગણિત સિસ્ટમ
সমস্ত পূর্ণসংখ্যা সমস্যা,તમામ પૂર્ણાંક સમસ્યા
বরাদ্দ সমস্যা,ફાળવણી સમસ્યા
বর্ণানুক্রমিক স্বরলিপি,આલ્ફાબેટીકલ નોટેશન
বর্ণানুক্রমিক অক্ষর,આલ્ફાબેટીક અક્ષર
বিকল্প কোণ,વૈકલ્પિક કોણ
বিকল্প ফর্ম,વૈકલ્પિક સ્વરૂપ
বিকল্প গোষ্ঠী,વૈકલ્પિક જૂથ
বিকল্প ম্যাট্রিক্স,વૈકલ્પિક મેટ્રિક્સ
বিকল্প সিরিজ,વૈકલ્પિક શ્રેણી
বিকল্প অনুমান,વૈકલ્પિક પૂર્વધારણા
বিকল্প অপটিমা,વૈકલ્પિક ઓપ્ટિમા
বিকল্প ফলাফল,વૈકલ્પિક પરિણામ
এনালগ থেকে ডিজিটাল রূপান্তরকারী,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
অ্যানালগ কম্পিউটার,એનાલોગ કમ્પ્યુટર
বিশ্লেষণ,વિશ્લેષણ
সহভক্তির বিশ্লেষণ,સહપ્રવૃત્તિનું વિશ્લેષણ
গণনা তথ্য বিশ্লেষণ,ગણતરી માહિતીનું વિશ્લેષણ
বৈচিত্র্যের বিশ্লেষণ,વિચલનનું વિશ્લેષણ
বিশ্লেষণাত্মক জ্যামিতি,વિશ્લેષણાત્મક ભૂમિતિ
বিশ্লেষণমূলক ফাংশন,વિશ્લેષણાત્મક કાર્ય
কোণ,કોણ
যোগাযোগের কোণ,સંપર્ક કોણ
বিচ্যুতি কোণ,વિચલન કોણ
বিষণ্নতা কোণ,હતાશાનો કોણ
বিচ্যুতি কোণ,વિચલન કોણ
বিবর্তন কোণ,વિવર્તન કોણ
উচ্চতা কোণ,એલિવેશન કોણ
ঘটনার কোণ,ઘટના કોણ
অভিক্ষেপ কোণ,પ્રક્ષેપણ કોણ
প্রতিফলন কোণ,પ્રતિબિંબ કોણ
প্রতিসরণ কোণ,રીફ્રેક્શન કોણ
ঘূর্ণন কোণ,પરિભ્રમણ કોણ
মোট প্রতিফলনের কোণ,કુલ પ્રતિબિંબ કોણ
কৌণিক ত্বরণ,કોણીય પ્રવેગક
কৌণিক গতি,કોણીય ગતિ
কৌণিক গতি,કોણીય ઝડપ
কৌণিক বেগ,કોણીય વેગ
অ্যানুলাস,વલય
উত্তর,જવાબ
বিরোধী – ডেরিভেটিভ,વિરોધી વ્યુત્પન્ન
অপ্রতিসম ফাংশন,એન્ટિસપ્રમાણ કાર્ય
প্রযোজ্য,લાગુ
আবেদন,અરજી
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
প্রয়োগ করা জ্যামিতি,લાગુ ભૂમિતિ
ফলিত গণিত,લાગુ ગણિત
ফলিত পরিসংখ্যান,લાગુ આંકડા
আন্দাজ,લગભગ
প্রায় একটানা ফাংশন,લગભગ સતત કાર્ય
আনুমানিক পদ্ধতি,અંદાજિત પદ્ધતિ
আনুমানিক সমাধান,અંદાજિત ઉકેલ
আনুমানিক সমস্যা,અંદાજની સમસ્યા
আনুমানিক সম্পত্তি,અંદાજિત મિલકત
যোগ্যতা পরীক্ষার ব্যাটারি,યોગ્યતા પરીક્ષણ બેટરી
Argand ডায়াগ্রাম,આર્ગાન્ડ ડાયાગ્રામ
নির্বিচারে নির্বাচিত,મનસ્વી રીતે પસંદ કરેલ
ইচ্ছামত,મનસ્વી
নির্বিচারে ধ্রুবক,મનસ્વી સતત
নির্বিচারে উপাদান,મનસ્વી તત્વ
নির্বিচারে পয়েন্ট,મનસ્વી બિંદુ
আর্কিমিডিয়ান আইন,આર્કેમીડિયન કાયદો
আর্কিমিডিসের নীতি,આર્કિમિડીઝ સિદ્ધાંત
চাপ দৈর্ঘ্য,ચાપ લંબાઈ
বৃত্তের চাপ,વર્તુળની ચાપ
আর্ক সাইন ডিস্ট্রিবিউশন,આર્ક સાઈન વિતરણ
চাপ সাইন রূপান্তর,આર્ક સાઈન ટ્રાન્સફોર્મેશન
এলাকা,વિસ્તાર
আঞ্চলিক টেক্সচার,ક્ષેત્રીય રચના
জটিল সংখ্যার যুক্তি,જટિલ સંખ્યાની દલીલ
গাণিতিক গড়,અંકગણિત સરેરાશ
গাণিতিক অপারেশন,અંકગણિત કામગીરી
পাটিগণিত একক,અંકગણિત એકમ
ব্যবস্থা,વ્યવસ્થા
অ্যারে,એરે
কৃত্রিম উপগ্রহ,કૃત્રિમ ઉપગ્રહ
কৃত্রিম পরিবর্তনশীল,કૃત્રિમ ચલ
আরোহণ,ચડવું
আরোহী,ચડતા
মাত্রার আরোহী ক্রম,તીવ્રતાનો ચડતો ક્રમ
আরোহী সিরিজ,ચડતી શ્રેણી
সংযোজনকারী ভাষা,એસેમ્બલર ભાષા
নিয়োগ সমস্যা,સોંપણીની સમસ્યા
সহযোগী আইন,સહયોગી કાયદો
অপারেটরদের সহযোগী আইন,ઓપરેટરોનો સહયોગી કાયદો
সহযোগী অপারেশন,સહયોગી કામગીરી
সহযোগীতা,સહયોગ
ধরে নেওয়া গড়,ધાર્યું સરેરાશ
অনুমান সম্ভাব্যতা বন্টন,અનુમાનિત સંભાવના વિતરણ
ধৃষ্টতা,ધારણા
জ্যোতিষশাস্ত্র,જ્યોતિષ
মহাকাশচারী প্রকৌশলী,એસ્ટ્રોનોટિકલ એન્જિનિયર
জ্যোতির্বিজ্ঞানী,ખગોળશાસ્ત્રી
জ্যোতির্বিদ্যা ঘড়ি,ખગોળશાસ્ત્રીય ઘડિયાળ
জ্যোতির্বিদ্যা,ખગોળશાસ્ત્ર
অপ্রতিসম বক্ররেখা,અસમપ્રમાણ વળાંક
অসমতা,અસમપ્રમાણતા
উপসর্গ,એસિમ્પ્ટોટ
অ্যাসিম্পোটিক,એસિમ્પટોટિક
লক্ষণগতভাবে দক্ষ অনুমানকারী,એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર
asymptotically নিরপেক্ষ অনুমানকারী,એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા
অ্যাসিম্পোটিক আচরণ,એસિમ્પ્ટોટિક વર્તન
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,એસિમ્પ્ટોટિક વિતરણ કાર્ય
অ্যাসিম্পোটিক সম্প্রসারণ,એસિમ્પ્ટોટિક વિસ્તરણ
বায়ুমণ্ডলীয় চাপ,વાતાવરણ નુ દબાણ
এলোমেলোভাবে,રેન્ડમ પર
বৈশিষ্ট্য,લક્ષણ
বৈশিষ্ট্য নমুনা পদ্ধতি,વિશેષતા નમૂના પ્રક્રિયા
অগমেন্টেড ম্যাট্রিক্স,સંવર્ધિત મેટ્રિક્સ
স্বয়ংক্রিয় সম্পর্ক সহগ,સ્વતઃસંબંધ ગુણાંક
স্বয়ংক্রিয় সম্পর্ক ফাংশন,સ્વતઃસંબંધ કાર્ય
স্বয়ংক্রিয়তা,ઓટોકોવરિઅન્સ
স্বয়ংক্রিয় কম্পিউটার,સ્વચાલિત કમ્પ્યુટર
অটোরিগ্রেশন,ઓટો રીગ્રેશન
সহায়ক সমীকরণ,સહાયક સમીકરણ
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ)
স্বতঃসিদ্ধ,સ્વયંસિદ્ધ
স্বতঃসিদ্ধ পদ্ধতি,સ્વયંસિદ્ધ અભિગમ
সম্ভাব্যতার স্বতঃসিদ্ধ,સંભાવનાનું સ્વયંસિદ્ધ
অক্ষ,ધરી
আবসিসার অক্ষ,abscissa ની અક્ષ
পৃথিবীর অক্ষ,પૃથ્વીની ધરી
বিপ্লবের অক্ষ,ક્રાંતિની ધરી
ঘূর্ণনের অক্ষ,પરિભ્રમણની અક્ષ
ঘূর্ণনের অক্ষ,સ્પિનની ધરી
ফিরে প্রতিস্থাপন,બેક-અવેજી
পশ্চাদপদ পার্থক্য,પછાત તફાવત
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા
ভারসাম্য,સંતુલન
সুষম নকশা,સંતુલિત ડિઝાઇન
ব্যালেন্স শীট,સરવૈયા
ক্ষেপণাস্ত্র,બેલિસ્ટિક મિસાઇલ
ব্যালিস্টিক,બેલિસ્ટિક્સ
বার,બાર
ভিত্তি,પાયો
ভিত্তি কোণ,આધાર કોણ
লগারিদমের ভিত্তি,લઘુગણકનો આધાર
মৌলিক,પાયાની
মৌলিক সম্ভাব্য সমাধান,મૂળભૂત શક્ય ઉકેલ
মৌলিক সমাধান,મૂળભૂત ઉકેલ
মৌলিক পরিবর্তনশীল,મૂળભૂત ચલ
ভিত্তি,આધાર
ভিত্তি উপাদান,આધાર તત્વ
ভিত্তি ম্যাট্রিক্স,આધાર મેટ્રિક્સ
একটি ভেক্টর স্থান ভিত্তি,વેક્ટર સ્પેસનો આધાર
সাবস্পেস ভিত্তি,સબસ્પેસનો આધાર
Bayesian অনুমান,બેયસિયન અંદાજ
বেইস আইন,બેયસનો કાયદો
বেইসের উপপাদ্য,બેયસનું પ્રમેય
বার্নোলি বিতরণ,બર્નૌલી વિતરણ
বার্নোলি নম্বর,બર્નોલી નંબર
Bernoulli সম্ভাব্যতা ফাংশন,બર્નૌલી સંભાવના કાર્ય
বার্নউলির সমীকরণ,બર્નૌલીનું સમીકરણ
বেরি ফাংশন,બેરી કાર્ય
শ্রেষ্ঠ মিল,શ્રેષ્ઠ ગોઠવણ
সেরা - ফিট লাইন,શ્રેષ્ઠ - ફિટ લાઇન
সেরা সমাধান,શ્રેષ્ઠ ઉકેલ
সেরা কৌশল,શ્રેષ્ઠ વ્યૂહરચના
বিটা বিতরণ,બીટા વિતરણ
পক্ষপাত,પૂર્વગ્રહ
পক্ষপাতমূলক অনুমান,પક્ષપાતી અંદાજ
বিহারমোনিক সমীকরণ,બિહાર્મોનિક સમીકરણ
দ্বিখণ্ডন,બાયજેક્શન
দ্বিমুখী মানচিত্র,દ્વિભાષી નકશો
দ্বিমুখী ম্যাপিং,બાયજેક્ટિવ મેપિંગ
বাইলিনিয়ার ফর্ম,દ્વિરેખીય સ્વરૂપ
বাইলিনিয়ার ফাংশন,દ્વિરેખીય કાર્ય
বাইলিনিয়ার হারমিটিয়ান ফর্ম,દ્વિરેખીય હર્મિટિયન સ્વરૂપ
বাইনারি,દ્વિસંગી
বাইনারি কোড,દ્વિસંગી કોડ
বাইনারি কোডেড দশমিক,દ્વિસંગી કોડેડ દશાંશ
বাইনারি কোডিং,દ્વિસંગી કોડિંગ
বাইনারি কম্পিউটার,દ્વિસંગી કમ્પ્યુટર
বাইনারি সংখ্যা,દ્વિસંગી અંક
বাইনারি অপারেশন,દ્વિસંગી કામગીરી
বাইনারি সিস্টেম,દ્વિસંગી સિસ્ટમ
বাইনারি পরিবর্তনশীল,દ્વિસંગી ચલ
দ্বিপদ সহগ,દ્વિપદી ગુણાંક
দ্বিপদ ডিস্ট্রিবিউশন,દ્વિપદી વિતરણ
দ্বিপদ সমীকরণ,દ્વિપદી સમીકરણ
দ্বিপদ সম্প্রসারণ,દ્વિપદી વિસ્તરણ
দ্বিপদ অভিব্যক্তি,દ્વિપદી અભિવ્યક્તિ
দ্বিপদী র্যান্ডম পরিবর্তনশীল,દ્વિપદી રેન્ડમ ચલ
দ্বিপদ উপপাদ্য,દ્વિપદી પ્રમેય
দ্বিখণ্ডন,દ્વિભાગ
দ্বিখণ্ডিত পদ্ধতি,દ્વિભાજન પદ્ધતિ
দ্বিখণ্ডিত,દ્વિભાજક
biserial,બાયસીરીયલ
বিট,બીટ
দ্বিপদ দ্বিপদ বণ্টন,દ્વિપક્ષીય દ્વિપદી વિતરણ
bivariate পারস্পরিক সম্পর্ক সহগ,બાયવેરિયેટ સહસંબંધ ગુણાંક
দ্বিমুখী বন্টন,દ્વિવિધ વિતરણ
দ্বিমুখী স্বাভাবিক বন্টন,બાયવેરિયેટ સામાન્ય વિતરણ
bivector,બાઇવેક્ટર
বোল্টজম্যান সমীকরণ,બોલ્ટ્ઝમેન સમીકરણ
বুলিয়ান বীজগণিত,બુલિયન બીજગણિત
বোস-আইনস্টাইন পরিসংখ্যান,બોઝ - આઈન્સ્ટાઈન આંકડા
সীমানার অবস্থা,સીમાની સ્થિતિ
সীমানা স্তর,સીમા સ્તર
সীমান,સીમા રેખા
সীমানা মান,સીમા મૂલ્ય
সীমানা মান সমস্যা,સીમા મૂલ્યની સમસ્યા
আবদ্ধ ফাংশন,બંધાયેલ કાર્ય
আবদ্ধ ম্যাট্রিক্স,બાઉન્ડેડ મેટ્રિક્સ
আবদ্ধ অঞ্চল,સીમિત પ્રદેશ
আবদ্ধ সেট,બાઉન્ડેડ સેટ
ব্রোমিন,બ્રાઉનિયન ગતિ
গণনা করা,ગણત્રી
গণনা করা,ગણતરી
গননা যন্ত্র,ગણતરી મશીન
গণনা,ગણતરી
