Odiya,Bengali
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,অ্যাবায়োটিক প্রজনন
ପରମାନନ୍ଦ,প্যারানরমাল
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,1. চতুর্থ পেট 2. Evomasome
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,স্টোমাটাল বৃদ্ধি অঙ্গ
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,স্তব্ধ বৃদ্ধি বীজ
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,শোষিত ক্যাটান
ଅବଶୋଷଣ,শোষণ
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,আবিসিনিয়ান সরিষা
1. ଆକାରିସାଇଡ୍ |,1. অ্যাক্যারিসাইড
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,কেন্দ্রমুখী
ବୃଦ୍ଧି (କକ୍ଷ),পরিবর্ধন (কোষ)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,অনুমোদিত সহনশীলতা
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
ଆଡାପ୍ଟେସନ୍,অভিযোজন
ଜମା,সঞ্চয়
1. ସଠିକତା 2. ସଠିକତା |,1. শূন্যতা 2. নির্ভুলতা
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
ଅମ୍ଳତା |,অম্লতা
ଏସିଡୋଫାଇଲ୍ |,অ্যাসিডোফাইল
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,অম্লীয় রক ফসফেট
ଅମ୍ଳଯୁକ୍ତ |,অ্যাসিডযুক্ত
ଜଳଜଳ,aquifer
ଅଧିଗ୍ରହଣ,অধিগ্রহণ
ଏକର,একর
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. এলাকা 2. এলাকা
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,শেষ বিন্দু ক্রোমোজোম
ଆଗକୁ ଦେଖିବା,দূরদর্শী
ଆକ୍ରୋସୋମ୍ |,acrosome
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,actinomycetes
ସକ୍ରିୟ କୋର୍ |,সক্রিয় কোর
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. উগ্র 2. তীব্র
ଅନୁକୂଳତା,অভিযোজনযোগ্যতা
କଷ୍ଟମାଇଜେସନ୍,কাস্টমাইজেশন
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,1. আনুগত্য 2. আনুগত্য
sebaceous,sebaceous
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,সমন্বয় সমীকরণ
ଆଡୋବ ମାଟି |,adobe মাটি
ବ୍ୟଭିଚାର,ভেজাল
ଏକ୍ଟୋପିକ୍,ectopic
Isidiospore Isidium Spore |,ইসিডিওস্পোর ইসিডিয়াম স্পোর
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,এরোডাইনামিক প্রক্রিয়া
ଭେଣ୍ଟ୍ରାଲ୍ |,ventral
ବିମାନକୁ,বায়ু করা
1. ବାୟୁ 2. ଆକାଶୀ |,1. বায়ু 2. আকাশী
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার
ଏରୋସୋଲ୍ |,এরোসল
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা
ରୋଗ ବିଜ୍ଞାନ,রোগের বিজ্ঞান
ବୃକ୍ଷରୋପଣ,বনায়ন
1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |,1. আন্দোলন 2. অশান্তি
ଆଗମାର୍କ |,এগমার্ক
1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି,1. জমি সংক্রান্ত 2. কৃষি
କୃଷି ଚିକିତ୍ସାଳୟ,কৃষি ক্লিনিক
1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |,1. কৃষি শ্রম 2. কৃষি শ্রম
କୃଷି ମାର୍କେଟିଂ |,কৃষি বিপণন
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,কৃষি প্রযুক্তি
1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |,1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান
କୃଷି ଜଙ୍ଗଲ,কৃষি বনায়ন
କୃଷି ଜ odi ବ ବିବିଧତା |,কৃষি জীববৈচিত্র্য
କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |,কৃষি জৈব ত্রুটি
କୃଷି ଜୀବ ବିଜ୍ଞାନ |,কৃষি জীববিজ্ঞান
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,কৃষি-জলবায়ু বৈচিত্র্য
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,কৃষি জলবায়ু অঞ্চল সৃষ্টি
କୃଷି ଜଙ୍ଗଲ,কৃষি বনবিদ্যা
କୃଷି,কৃষিবিদ্যা
ଆଗ୍ରୋନୋମିକ୍,কৃষিবিজ্ঞান
କୃଷି ପାଳକ,কৃষি যাজক
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,ফসল প্রক্রিয়াকরণ
ଘାସ ବିଜ୍ଞାନ |,ঘাস বিজ্ঞান
ଫସଲ ପ୍ରକାର |,ফসলের ধরন
ଏପିଫାଇଟ୍ |,এপিফাইট
aikiochi ମାଟି |,aikiochi মাটি
ରଙ୍ଗ ଅନ୍ଧତା |,বর্ণান্ধতা
ଆଲଫିସୋଲ୍ |,আলফিসল
ଶାଗ,শৈবাল
ଆଲଗା ରୋଗ,শেওলা রোগ
କ୍ଷାର ଜଳ |,ক্ষার জল
କ୍ଷାର,ক্ষারীয়
ବିକଳ୍ପ,বিকল্প
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,অ্যালেলো রসায়ন
ଆଲେଲେ,অ্যালিল
ଆଲେଲୋପାଥି,অ্যালিলোপ্যাথি
ଭେଟି ଫସଲ |,ভেথি ফসল
ସମାପ୍ତି,পরিপূর্ণতা
ଫର୍ଟିଲାଇଜେସନ୍,নিষিক্তকরণ
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,1. আপেক্ষিকতা 2. অ্যালোমেট্রি
ମଲ୍ଟିପ୍ଲୋଡି,multiploidy
1. ପାରାଜାଇଗୋସିଟି |,1. প্যারাজিগোসিটি
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,বিকল্প ভূমি ব্যবহার
ପରିବେଶ,পরিবেশ
ସଂସ୍କାରକ,সংস্কারক
ମାଇଟୋସିସ୍,মাইটোসিস
ଆମେନାନ୍,আমীনান
ଆମୋନିଅନ୍ |,ammonion
amniferous,amniferous
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,1. অকার্যকর রূপ 2. অরূপী
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,উভচর মিশ্রণ
ଆମ୍ଫୋଟେରିକ୍ |,amphoteric
ଷ୍ଟକପିଲିଂ |,মজুদ
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব
