Punjabi,Kannada
ਪਰੇਸ਼ਾਨੀ,ದಾಟುವುದು
ਸੰਖੇਪ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ਅਗਵਾ,ಅಪಹರಣ
ਧਾਰਨਾ,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
ਯੋਗਤਾ,ಸಾಮರ್ಥ್ಯ
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,ಎಬಿ ಇನಿಶಿಯೋ
ਯੋਗ,ಸಮರ್ಥ
ਅਸਧਾਰਨ,ಅಸಹಜ
ਖਤਮ,ನಿರ್ಮೂಲನ
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,ರದ್ದುಮಾಡುವಿಕೆ
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,ಮೇಲೆ ತಿಳಿಸಿದ
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
ਉਪਰੋਕਤ ਕਿਹਾ,ಮೇಲೆ ಹೇಳಿದರು
ਗੈਰਹਾਜ਼ਰੀ,ಅನುಪಸ್ಥಿತಿ
ਗੈਰਹਾਜ਼ਰ,ಗೈರುಹಾಜರಿ
ਗੈਰਹਾਜ਼ਰ,ಗೈರುಹಾಜರಿ
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
ਅਸੀਮ,ಸಂಪೂರ್ಣ
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
ਸੰਪੂਰਨ ਮਾਲਕੀ,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
ਸਮਾਈ,ಹೀರುವಿಕೆ
ਸਾਰ,ಅಮೂರ್ತ
ਸੰਖੇਪ,ಅಮೂರ್ತತೆ
ਬੇਹੂਦਾ,ಅಸಂಬದ್ಧ
ਬਹੁਤਾਤ,ಹೇರಳವಾಗಿರುವುದು
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,ನಿಂದಕ ಭಾಷೆ
ਅਕਾਦਮਿਕ,ಶೈಕ್ಷಣಿಕ
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,ಶೈಕ್ಷಣಿಕ ರಜೆ
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
ਐੱਸ,ತಪ್ಪೊಟ್ಟು
ਸਵੀਕਾਰ ਕਰੋ,ಒಪ್ಪಿಕೊಳ್ಳಿ
ਮਨਜ਼ੂਰ,ಸ್ವೀಕಾರಾರ್ಹತೆ
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
ਪਹੁੰਚ,ಪ್ರವೇಶ
ਐਕਸੈਸਿੰਗ,ಪ್ರವೇಶ
ਸਹਾਇਕ,ಪರಿಕರ
ਹਾਦਸਾ,ಅಪಘಾತ
ਅਨੁਕੂਲਤਾ,ಒಗ್ಗೂಡಿಸುವಿಕೆ
ਰਿਹਾਇਸ਼,ಸೌಕರ್ಯ
ਦੇ ਨਾਲ,ಜೊತೆಗಾರ
ਸਮਝੌਤਾ,ಸ ೦ ಗೀತ
ਦੇ ਅਨੁਸਾਰ,ಪ್ರೇಕ್ಷಕ
ਇਸ ਅਨੁਸਾਰ,ಹಾಗೆಯೇ
ਖਾਤਾ,ಖಾತೆ
ਜਵਾਬਦੇਹੀ,ಹೊಣೆಗಾರಿಕೆ
ਜਵਾਬਦੇਹ,ಹೊಣೆಗಾರ
