English,Bengali
Abelian group,আবেলিয়ান গ্রুপ
abelian semigroup,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
absolute,পরম
absolute convergence,পরম মিলন
absolute error,পরম ত্রুটি
absolute maximum,পরম সর্বোচ্চ
absolute minimum,পরম সর্বনিম্ন
absolute value,পরম মান
absolute velocity,পরম বেগ
abstract algebra,বিমূর্ত বীজগণিত
abstract group theory,বিমূর্ত গ্রুপ তত্ত্ব
acceleration,ত্বরণ
acceleration due to gravity,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
acceptable choice set,গ্রহণযোগ্য পছন্দ সেট
acceptable quality level,গ্রহণযোগ্য মানের স্তর
acceptable range,গ্রহণযোগ্য পরিসীমা
acceptable reliability level,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
acceptable sampling,গ্রহণযোগ্য নমুনা
accumulated error,সঞ্চিত ত্রুটি
accuracy,সঠিকতা
acting force,অভিনয় শক্তি
action,কর্ম
action and reaction,কর্ম এবং প্রতিক্রিয়া
acturial science,বাস্তব বিজ্ঞান
acute angled triangle,তীব্র কোণযুক্ত ত্রিভুজ
acyclic,অ্যাসাইক্লিক
add,যোগ করুন
adder,যোগকারী
addition,সংযোজন
addition formula,সংযোজন সূত্র
addition of complex numbers,জটিল সংখ্যার সংযোজন
addition of functions,ফাংশন সংযোজন
addition of matrices,ম্যাট্রিক্সের সংযোজন
addition of polynomials,বহুপদ সংযোজন
addition of probabilities,সম্ভাবনার সংযোজন
addition of vectors,ভেক্টর সংযোজন
addition theorem,সংযোজন উপপাদ্য
additive group,সংযোজনকারী গ্রুপ
additive inverse,সংযোজন বিপরীত
additive property,সংযোজক সম্পত্তি
additivity,সংযোজন
adjacency matrix,অন্তিক ম্যাট্রিক্স
adjacent,সংলগ্ন
adjacent angles,সন্নিহিত কোণ
adjacent vertex,সংলগ্ন শীর্ষবিন্দু
adjoin,সংলগ্ন
adjoining,সংলগ্ন
adjoint determinant,সংলগ্ন নির্ধারক
adjoint differential equation,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
adjoint equation,সংলগ্ন সমীকরণ
adjoint matrix,সংলগ্ন ম্যাট্রিক্স
adjoint of matrix,ম্যাট্রিক্সের সংলগ্ন
adjugate matrix,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
