Odiya,Marathi
AC ସମାନ ସର୍କିଟ |,एसी समतुल्य सर्किट
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,एनालॉग ते अंकीय कनवर्टर
ସଂପୂର୍ଣ୍ଣ ଶୂନ,पूर्ण शून्य
ଶୋଷଣ ଗୁଣବତ୍ତା,शोषण गुणांक
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,शोषण स्पेक्ट्रम
ରିସେପ୍ଟର ପରମାଣୁ |,रिसेप्टर अणू
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,पर्यायी वर्तमान जोडणी
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,इलेक्ट्रॉन कापणी
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,भोक संचयन
ସକ୍ରିୟ ଶକ୍ତି,सक्रियता ऊर्जा
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,सक्रिय अॅम्प्लीफायर
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,सक्रिय डायोड सर्किट
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,सक्रिय फिल्टर
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,सक्रिय उच्च वारंवारता पर्केट फिल्टर
ସକ୍ରିୟ ଭାର,सक्रिय भार
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,सक्रिय कमी वारंवारता पार्स फिल्टर
ସକ୍ରିୟ କ୍ଷେତ୍ର |,सक्रिय क्षेत्र
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,अनुकूली इलेक्ट्रॉनिक्स
ଆଡର୍,जोडणारा
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,समायोज्य बँड विस्तार
ଅନୁପ୍ରବେଶ,प्रवेश
ଆରିଏଲ,एरियल
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,pep वारंवारता
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,एअर कंडिशनर
ଶ୍ରେଣୀବଦ୍ଧତା |,संरेखन
ଆଲଗୋରିଦମ |,अल्गोरिदम
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,सर्व पास फिल्टर
ମିଶ୍ରିତ ଜଙ୍କସନ |,मिश्र धातु जंक्शन
ଆଘାତ,क्षीणन
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,पर्यायी प्रवाह
ପରିବେଶର ତାପମାତ୍ରା |,वातावरणीय तापमान
ଦ୍ୱିପାକ୍ଷିକ,द्विध्रुवीय
ବୃଦ୍ଧି,प्रवर्धन
ଏମ୍ପ୍ଲିଫାୟର୍,अॅम्प्लिफायर
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,एम्पलीफायर कार्यक्षमता
ପରିମାପ,परिमाण
ପ୍ରଶସ୍ତତା ଆଘାତ,मोठेपणा क्षीणन
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ,मोठेपणा मॉड्यूलेशन
ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର,मोठेपणा मॉड्युलेटर
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,अँग्स्ट्रोम युनिट
ଆନାଗଲ୍ ସର୍କିଟ୍ |,अॅनालॉग सर्किट
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,अॅनालॉग संगणक
ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |,अॅनालॉग फिल्टर
ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |,अॅनालॉग मल्टीमीटर
ଆନାଗଲ୍ ସୁଇଚ୍ |,अॅनालॉग स्विच
ଏବଂ ଫାଟକ |,आणि गेट
କୋଣ ଅନୁକୋଣ,कोनीय वारंवारता
"ଆୟନ, ଆୟନ","anion, anion"
ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |,एनीलिंग तापमान
anode,एनोड
ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,एनोड अॅम्प्लिफायर
anodyne,anodyne
ଆଣ୍ଟେନା |,अँटेना
ଆଣ୍ଟେନା ଉପାଦାନ |,अँटेना घटक
ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |,विरोधी परावर्तक कोटिंग
ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |,अँटिलॉगिन अॅम्प्लिफायर
ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |,अँटीरेझोनंट सर्किट
ଦ୍ୱାରକ ଅବଧି |,द्वारक काळ
ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |,आभासी शक्ती
ତାର ସଂଯୋଗ,वायर कनेक्शन
ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |,अंदाजे व्होल्टेज वाढ
ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର,आर्मस्ट्राँग मॉड्युलेटर
ଆଣ୍ଟେନା ଆରେ |,अँटेना अॅरे
"ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |","आकार गुणोत्तर, गुणोत्तर"
ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |,स्वयंचलित मल्टीव्हायब्रेटर
ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |,फ्लोटिंग मल्टीव्हायब्रेटर
ଅସୀମିତ ଜଙ୍କସନ,असममित जंक्शन
ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |,असिंक्रोनस कॅल्क्युलेटर
ପରମାଣୁ,आण्विक
ପରମାଣୁ ସଂଖ୍ୟା,अणुक्रमांक
ପରମାଣୁ ଗଠନ,अणु रचना
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ऑडिओ अॅम्प्लीफायर
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ऑडिओ अॅम्प्लीफायर
ଅଡିଓ କ୍ୟାସେଟ୍ |,ऑडिओ कॅसेट
ଅଡିଓ ସର୍କିଟ |,ऑडिओ सर्किट
ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |,ऐकण्यायोग्य वारंवारता
ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |,स्वयंचलित व्होल्टेज नियंत्रण
