Marathi,Gujarati
A B वर्ग अॅम्प्लीफायर,A B વર્ગ એમ્પ્લીફાયર
विकृती,વિકૃતિ
असामान्य प्रसार,અસામાન્ય ટ્રાન્સમિશન
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
गहाळ स्पेक्ट्रम,ગુમ થયેલ સ્પેક્ટ્રમ
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
परिपूर्ण आर्द्रता,સંપૂર્ણ ભેજ
परिपूर्ण गती,સંપૂર્ણ ગતિ
परिपूर्ण निरीक्षण,સંપૂર્ણ અવલોકન
परिपूर्ण तापमान,સંપૂર્ણ તાપમાન
पूर्ण शून्य,સંપૂર્ણ શૂન્ય
शोषून घेणे,શોષી લેવું
"शोषक, शोषक","શોષક, શોષક"
शोषण क्षमता,શોષણ ક્ષમતા
शोषण,શોષણ
शोषक,શોષક
शोषकता,શોષકતા
गुणोत्तर गुणोत्तर,ગુણાકાર ગુણોત્તર
गती वाढवणे,વેગ આપો
घाई केली,ઉતાવળ કરી
प्रवेग,પ્રવેગ
गुरुत्वाकर्षणाचा प्रवेग,ગુરુત્વાકર્ષણ પ્રવેગક
प्रवेगक,પ્રવેગક
प्रवेगक,પ્રવેગક
प्रवेगमापक,એક્સેલરોમીટર
prestresser,prestresser
स्वीकार्य चाचणी,સ્વીકાર્ય પરીક્ષણ
स्वीकारणारा,સ્વીકારનાર
दाता रेणू,દાતા પરમાણુ
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","પ્રવેશ, રાહ, સુલભતા"
प्रवेशयोग्यता,ઉપલ્બધતા
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
प्रवेश वेळ,ઍક્સેસ સમય
अभ्यागत त्रुटी,મુલાકાતી ભૂલ
समायोजन,ગોઠવણ
जमा,સંચિત
"जमा करणे, जमा करणे","સંચય, સંચય"
संचयक,સંચયક
अचूकता,ચોકસાઈ
वास्तव,વાસ્તવિકતા
अॅक्रोमॅटिक लेन्स,વર્ણહીન લેન્સ
अक्रोमॅटिक,વર્ણહીન
अक्रोमॅटिकता,વર્ણહીનતા
ध्वनिक,એકોસ્ટિક
