Odiya,Punjabi
ଆମ୍ପେର୍ (ୟୁନିଟ୍),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |,angstrum
ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ଏକ ରେଡିଓ ସାହା |,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
a-darsh,a-ਦਰਸ਼
ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
A-T ବକ୍ର ସ୍ଫଟିକ୍ |,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
ମୁଁ,am
AMU (ପରମାଣୁ ମାସ ଏକକ),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
aard-vark *,ਆਰਡ-ਵਰਕ*
ab-ampere,ਐਬ-ਐਂਪੀਅਰ
A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ଆଦା,adah
A-B ଶକ୍ତି ପିଟାକା |,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
abe refractometer,abe refractometer
ଆବେ ସାଇନ ଅବସ୍ଥା |,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
abcoulom,abcoulom
"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |",ਵਿਗਾੜ
ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
ଆକାଶ ଅବକ୍ଷୟ |,ਅਸਮਾਨ ਵਿਕਾਰ
abfarad,abfarad
ଏବେନେରୀ |,ਈਬੇਨਰੀ
ଇବୋନି ପ୍ରଭାବ |,ਈਬੋਨੀ ਪ੍ਰਭਾਵ
ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,ਅਸਧਾਰਨ ਸੰਚਾਰ
ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"ଅଗ୍ରାଧିକାର, ବିଫଳତା |","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
ବାରମ୍ବାର ଡେଇଁପଡେ |,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
ହାତ *,ਹੱਥ*
ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ,ਪੂਰਨ ਪ੍ਰਵੇਗ
ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |,ਪੂਰਨ ਅਸਲੀਅਤ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ਪੂਰਾ ਪਤਾ
ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |,ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ
ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |,ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ
ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |,ਪੂਰਨ ਐਂਪੀਅਰ
ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |,ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ
ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |,ਪੂਰਨ ਪ੍ਰਕਾਸ਼
ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା,ਪੂਰਨ ਸਮਰੱਥਾ
ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |,ਪੂਰਨ ਉਚਾਈ
ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |,ਪੂਰਨ ਰੰਗ
"ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |","ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ"
ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |,ਪੂਰਨ ਕੂਲੰਬ
ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |,ਪੂਰਾ ਹਨੇਰਾ
ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ,ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ
ସଂପୂର୍ଣ୍ଣ ଘନତା *,ਸੰਪੂਰਨ ਘਣਤਾ*
ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |,ਪੂਰਨ ਡਰੇਨੇਜ
ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ),ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ)
ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍),ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ)
ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |,ਪੂਰਨ ਕੁਸ਼ਲਤਾ
ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ
ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |,ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,ਪੂਰਨ ਨਮੀ
ସଂପୂର୍ଣ୍ଣ ଘଟଣା,ਸੰਪੂਰਨ ਘਟਨਾ
ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |,ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ
ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |,ਪੂਰਨ ਅਸਥਿਰਤਾ
ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |,ਪੂਰਨ ਅਸਥਿਰਤਾ
"ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |","ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ"
ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |,ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ
