Punjabi,Marathi
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,एसी समतुल्य सर्किट
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,एनालॉग ते अंकीय कनवर्टर
ਪੂਰਨ ਜ਼ੀਰੋ,पूर्ण शून्य
ਸਮਾਈ ਗੁਣਾਂਕ,शोषण गुणांक
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,शोषण स्पेक्ट्रम
ਰੀਸੈਪਟਰ ਐਟਮ,रिसेप्टर अणू
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,पर्यायी वर्तमान जोडणी
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,इलेक्ट्रॉन कापणी
ਮੋਰੀ ਸਟੋਰੇਜ਼,भोक संचयन
ਸਰਗਰਮੀ ਊਰਜਾ,सक्रियता ऊर्जा
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,सक्रिय अॅम्प्लीफायर
ਸਰਗਰਮ diode ਸਰਕਟ,सक्रिय डायोड सर्किट
ਸਰਗਰਮ ਫਿਲਟਰ,सक्रिय फिल्टर
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,सक्रिय उच्च वारंवारता पर्केट फिल्टर
ਸਰਗਰਮ ਲੋਡ,सक्रिय भार
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,सक्रिय कमी वारंवारता पार्स फिल्टर
ਸਰਗਰਮ ਖੇਤਰ,सक्रिय क्षेत्र
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,अनुकूली इलेक्ट्रॉनिक्स
ਜੋੜਨ ਵਾਲਾ,जोडणारा
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,समायोज्य बँड विस्तार
ਪ੍ਰਵੇਸ਼,प्रवेश
ਏਰੀਅਲ,एरियल
pep ਬਾਰੰਬਾਰਤਾ,pep वारंवारता
ੲੇ. ਸੀ,एअर कंडिशनर
ਅਲਾਈਨਮੈਂਟ,संरेखन
ਐਲਗੋਰਿਦਮ,अल्गोरिदम
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,सर्व पास फिल्टर
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,मिश्र धातु जंक्शन
ਧਿਆਨ,क्षीणन
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,पर्यायी प्रवाह
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,वातावरणीय तापमान
ਬਾਈਪੋਲਰ,द्विध्रुवीय
ਵਾਧਾ,प्रवर्धन
ਐਂਪਲੀਫਾਇਰ,अॅम्प्लिफायर
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,एम्पलीफायर कार्यक्षमता
ਮਾਪ,परिमाण
ਐਪਲੀਟਿਊਡ attenuation,मोठेपणा क्षीणन
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,मोठेपणा मॉड्यूलेशन
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ,मोठेपणा मॉड्युलेटर
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,अँग्स्ट्रोम युनिट
ਐਨਾਲਾਗ ਸਰਕਟ,अॅनालॉग सर्किट
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,अॅनालॉग संगणक
ਐਨਾਲਾਗ ਫਿਲਟਰ,अॅनालॉग फिल्टर
ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ,अॅनालॉग मल्टीमीटर
ਐਨਾਲਾਗ ਸਵਿੱਚ,अॅनालॉग स्विच
ਅਤੇ ਗੇਟ,आणि गेट
ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ,कोनीय वारंवारता
"anion, anion","anion, anion"
ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ,एनीलिंग तापमान
ਐਨੋਡ,एनोड
ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ,एनोड अॅम्प्लिफायर
anodyne,anodyne
ਐਂਟੀਨਾ,अँटेना
ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ,अँटेना घटक
ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ,विरोधी परावर्तक कोटिंग
ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ,अँटिलॉगिन अॅम्प्लिफायर
antiresonant ਸਰਕਟ,अँटीरेझोनंट सर्किट
ਦੁਆਰਕ ਕਾਲ,द्वारक काळ
ਵਰਚੁਅਲ ਪਾਵਰ,आभासी शक्ती
ਤਾਰ ਕੁਨੈਕਸ਼ਨ,वायर कनेक्शन
ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ,अंदाजे व्होल्टेज वाढ
armstrong modulator,आर्मस्ट्राँग मॉड्युलेटर
ਐਂਟੀਨਾ ਐਰੇ,अँटेना अॅरे
"ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ","आकार गुणोत्तर, गुणोत्तर"
ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,स्वयंचलित मल्टीव्हायब्रेटर
ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,फ्लोटिंग मल्टीव्हायब्रेटर
ਅਸਮਿਤ ਜੰਕਸ਼ਨ,असममित जंक्शन
ਅਸਿੰਕ੍ਰੋਨਸ ਕੈਲਕੁਲੇਟਰ,असिंक्रोनस कॅल्क्युलेटर
ਪ੍ਰਮਾਣੂ,आण्विक
ਪਰਮਾਣੂ ਨੰਬਰ,अणुक्रमांक
ਪਰਮਾਣੂ ਬਣਤਰ,अणु रचना
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,ऑडिओ अॅम्प्लीफायर
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,ऑडिओ अॅम्प्लीफायर
ਆਡੀਓ ਕੈਸੇਟ,ऑडिओ कॅसेट
ਆਡੀਓ ਸਰਕਟ,ऑडिओ सर्किट
ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ,ऐकण्यायोग्य वारंवारता
ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਕੰਟਰੋਲ,स्वयंचलित व्होल्टेज नियंत्रण
ਬਰਫ਼ਬਾਰੀ,हिमस्खलन
ਔਸਤ ਖੋਜੀ,सरासरी डिटेक्टर
ਧੁਰੀ ਮੋਡ,अक्षीय मोड
