Gujarati,Marathi
અબેકસ,अॅबॅकस
અસામાન્ય સમાપ્તિ,असामान्य समाप्ती
ગર્ભપાત,गर्भपात
સંપૂર્ણ,निरपेक्ष
સંપૂર્ણ સરનામું,परिपूर्ण पत्ता
સંપૂર્ણ સંબોધન,निरपेक्ष संबोधन
સંપૂર્ણ એસેમ્બલર,परिपूर्ण असेंबलर
સંપૂર્ણ કોડ,परिपूर्ण कोड
સંપૂર્ણ આદેશ,निरपेक्ष आज्ञा
સંપૂર્ણ ડેટા,परिपूर्ण डेटा
સંપૂર્ણ સૂચના,परिपूर्ण सूचना
સંપૂર્ણ મોડ,परिपूर्ण मोड
સંપૂર્ણ માર્ગ,परिपूर्ण मार्ग
સંપૂર્ણ પ્રોગ્રામિંગ,परिपूर्ण प्रोग्रामिंग
અમૂર્ત વર્ગ,अमूर्त वर्ग
અમૂર્ત ડેટા પ્રકાર,अमूर्त डेटा प्रकार
અમૂર્ત મશીન,अमूर्त मशीन
અમૂર્ત પ્રતીક,अमूर्त चिन्ह
અમૂર્ત વાક્યરચના,अमूर्त वाक्यरचना
સ્વીકૃતિ પરીક્ષણ,स्वीकृती चाचणी
ઍક્સેસ પ્રમાણીકરણ,प्रवेश प्रमाणीकरण
ઍક્સેસ કોડ,प्रवेश कोड
વપરાશ નિયંત્રણ,प्रवेश नियंत्रण
એક્સેસ સ્કેન,प्रवेश स्कॅन
સહાયક,ऍक्सेसरी
એકાઉન્ટ,खाते
એકાઉન્ટ ID,खाते आयडी
સંચયક,संचयक
ચોકસાઈ,अचूकता
ઍક્સેસ,प्रवेश
એક્સેસ કંટ્રોલ બાઈટ,ऍक्सेस कंट्रोल बाइट
એક્સેસ ઇન્ડેક્સ,प्रवेश निर्देशांक
ઍક્સેસ કી,प्रवेश की
એક્સેસ મેટ્રિક્સ,ऍक्सेस मॅट्रिक्स
ઍક્સેસ મોડ,प्रवेश मोड
એક્સેસ વિશેષાધિકાર,प्रवेश विशेषाधिकार
ઍક્સેસ સુરક્ષા,प्रवेश सुरक्षा
ઍક્સેસ સર્વર,ऍक्सेस सर्व्हर
ઍક્સેસ સમય,प्रवेश वेळ
સ્વીકૃતિ,पोचपावती
ધ્વનિશાસ્ત્ર,ध्वनीशास्त्र
ટૂંકાક્ષર,परिवर्णी शब्द
ક્રિયા સંદેશ,क्रिया संदेश
સક્રિયકરણ,सक्रियकरण
સક્રિય સર્વર પૃષ્ઠ (ASP),सक्रिय सर्व्हर पृष्ठ (एएसपी)
સક્રિય સંસ્કરણ,सक्रिय आवृत्ती
એસાયક્લિક,अॅसायक्लिक
એસાયક્લિક ગ્રાફ,अॅसायक्लिक आलेख
અદા ભાષા,अडा भाषा
એડેપ્ટર,अडॅप्टर
ઉમેરો,जोडा
ફાઇલ ઉમેરો,फाइल जोडा
કામગીરી ઉમેરો,ऑपरेशन जोडा
ઉમેરનાર,जोडणारा
સરનામું,पत्ता
સરનામું બસ,पत्ता बस
સરનામું ફાઇલ,पत्ता फाइल
સરનામું ફોર્મેટ,पत्त्याचे स्वरूप
સરનામું જનરેટર,पत्ता जनरेटर
એડ્રેસ લાઇન,पत्ता ओळ
સરનામું મેપિંગ,पत्ता मॅपिंग
સરનામું નિર્દેશક,पत्ता सूचक
સરનામું રજીસ્ટર,पत्ता नोंदवही
સરનામું રિઝોલ્યુશન,पत्ता ठराव
સરનામા અનુવાદ,पत्ता अनुवाद
સંબોધિત મેમરી,संबोधित मेमरी
સંબોધન,संबोधित करणे
પર્યાપ્તતા માપદંડ,पर्याप्तता निकष
સંલગ્ન,संलग्न
વહીવટ,प्रशासन
સંચાલક,प्रशासक
એડોબ એક્રોબેટ,adobe acrobat
એડોબ ફોટોશોપ,अडोब फोटोशाॅप
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
અદ્યતન ડેટા,प्रगत डेटा
અદ્યતન માહિતી સિસ્ટમ,प्रगत माहिती प्रणाली
અદ્યતન ટેકનોલોજી (AT),प्रगत तंत्रज्ञान (AT)
એજન્ટ,एजंट
એકત્રીકરણ,एकत्रीकरण
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,एअरबोर्न संगणक प्रणाली
aldus પૃષ્ઠ નિર્માતા,aldus पृष्ठ निर्माता
ચેતવણી બોક્સ,इशारा बॉक्स
algol,अल्गोल
અલ્ગોરિધમ,अल्गोरिदम
અલ્ગોરિધમ વિશ્લેષણ,अल्गोरिदम विश्लेषण
અલ્ગોરિધમ કાર્યક્ષમતા,अल्गोरिदम कार्यक्षमता
ઉપનામ,उर्फ
ગોઠવણી,संरेखन
ફાળવણી,वाटप
આલ્ફાબેટીક,वर्णमाला
આલ્ફાન્યૂમેરિક,अल्फान्यूमेरिक
આલ્ફાન્યૂમેરિક કી બોર્ડ,अल्फान्यूमेरिक की बोर्ड
આલ્ફા-પરીક્ષણ,अल्फा-चाचणी
આલ્ફા-સંસ્કરણ,अल्फा आवृत्ती
alt કી,alt की
અલ્ટાવિસ્ટા,altavista
અસ્પષ્ટતા,अस्पष्टता
અસ્પષ્ટ વ્યાકરણ,अस्पष्ट व्याकरण
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),अमेरिकन राष्ट्रीय मानक संस्था (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII)
એનાલોગ,अॅनालॉग
એનાલોગ કમ્પ્યુટર,अॅनालॉग संगणक
એનાલોગ ઉપકરણ,अॅनालॉग डिव्हाइस
એનાલોગ મોડેમ,अॅनालॉग मॉडेम
એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC),अॅनालॉग ते डिजिटल कनव्हर्टर (ADC)
અને,आणि
અને સર્કિટ,आणि सर्किट
અને દરવાજો,आणि गेट
અને ઓપરેશન નહીં (બાકાત),आणि ऑपरेशन नाही (अपवर्जन)
એનિમેશન,अॅनिमेशन
ટીકા,भाष्य
વિસંગતતા,विसंगती
પૂર્વવર્તી,पूर्ववर्ती
આગોતરી પેજીંગ,आगाऊ पेजिंग
વિરોધી સપ્રમાણ,विरोधी सममित
એન્ટિવાયરસ પ્રોગ્રામ,अँटीव्हायरस प्रोग्राम
